OBJECTID,YEAR_,STATE,AGENCY,Fire Name,Alarm Date,Containment Date,Cause,Collection Method,Management Objective,GIS Calculated Acres,Decades,Shape__Area,Shape__Length
1,2025,CA,USF,GIFFORD,8/1/2025,10/14/2025,14,3,1,131613.5,2020-2025,798129287.8,315035.2577
2,2025,CA,USF,MADRE,7/2/2025,7/26/2025,14,7,1,80779.1,2020-2025,489691304.5,234788.8702
3,2025,CA,USF,GARNET,8/24/2025,10/23/2025,1,3,1,60019.23,2020-2025,381019801.1,293948.4282
4,2025,CA,CDF,SALT,9/2/2025,9/17/2025,1,7,1,25553.55,2020-2025,158299234.4,111440.0928
5,2025,CA,CDF,PALISADES,1/7/2025,1/31/2025,14,7,1,23448.88,2020-2025,138651835,140231.6082
6,2025,CA,USF,BUTLER,7/4/2025,9/11/2025,14,7,1,21057.61,2020-2025,151016558.6,134217.7349
7,2025,CA,USF,GREEN,7/2/2025,8/14/2025,1,3,1,19021.99,2020-2025,134608787.7,85187.85554
8,2025,CA,CDF,EATON,1/8/2025,1/31/2025,14,7,1,14056.26,2020-2025,83363928.89,104933.2072
9,2025,CA,USF,DILLON,8/25/2025,11/6/2025,1,7,1,11929.38,2020-2025,86263960.68,102086.7727
10,2025,CA,CDF,HUGHES,1/22/2025,1/28/2025,14,7,1,10396.8,2020-2025,62160638.91,96698.59986
11,2025,CA,CDF,6-5,9/2/2025,9/13/2025,1,3,1,6957.999,2020-2025,45223302.84,63515.06818
12,2025,CA,CDF,PICKETT,8/21/2025,9/7/2025,14,1,1,6822.29,2020-2025,45303667.38,73289.32042
13,2025,CA,CDF,BORDER 2,1/23/2025,1/29/2025,5,4,1,6629.878,2020-2025,37923149.96,83113.64977
14,2025,CA,CCO,CANYON,8/6/2025,8/11/2025,14,2,1,5367.721,2020-2025,32035257.53,56639.82675
15,2025,CA,CDF,1-4,9/2/2025,9/4/2025,1,3,1,4451.064,2020-2025,28482286.59,40189.5384
16,2025,CA,CCO,DOGS,6/13/2025,6/15/2025,14,2,1,4406.828,2020-2025,27013936.75,28776.41629
17,2025,CA,BLM,JAW,5/19/2025,6/1/2025,11,7,1,4326.964,2020-2025,26357809.65,50579.21566
18,2025,CA,BLM,RANCH,6/10/2025,6/19/2025,14,3,1,4291.886,2020-2025,25570246.14,39945.269
19,2025,CA,USF,BLUE,8/27/2025,10/13/2025,1,7,1,3712.53,2020-2025,27048473.45,48789.64442
20,2025,CA,CDF,2-2,9/2/2025,9/6/2025,1,3,1,3462.842,2020-2025,22557714.14,33702.6641
